gene
ACKR3
ARFRP1
BCL9
BRD3
CDX2
CNTRL
COX6C
CREB1
EWSR1
EZR
FAS
FCRL4
GAS7
HOXA11
IL2
LHFPL6
MAML2
MLF1
MN1
MNX1
NFIB
NSD3
PAX7
PBX1
PCM1
PDGFB
PER1
PRRX1
RUNX1T1
SBDS
SDC4
SEPT5
SOX10
TCL1A
TLX3
TRRAP
WRN
YWHAE
ZNF217
